Section ;CHAPITRE;NOMENCLATURE;STATUT;CHAPITRE_LIB;ARTICLE;OPERATION;OPERATION_LIB;FONCTION;CODE_AXE_ANALYTIQUE_PROFONDEUR_1;LIBELLE_AXE_ANALYTIQUE_PROFONDEUR_1;CODE_AXE_ANALYTIQUE_PROFONDEUR_2;LIBELLE_AXE_ANALYTIQUE_PROFONDEUR_2;Réalisé total;SENS;SECTION;ANNEE
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;311.0;0110.; EVENEMENTIEL;HCV.; Hors compte ventilation;1935;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;313.0;0104.; MEDIATHEQUE;VICTOR.; HUGO Victor Hugo ;312,14;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;313.0;0104.; MEDIATHEQUE;HCV.; Hors compte ventilation;390;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;314.0;0114.; MUSEE QUENTOVIC;GEORGES.; V Commémoration du Roi Georges V;25145;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;325.0;0112.; JEUNESSE;JPINS.; Centre Jeunes Pins;615;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;325.0;01161.; CNC;HCV.; Hors compte ventilation;148,08;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;326.0;JOUTES.; Joutes à canotes;HCV.; Hors compte ventilation;720;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;326.0;0116.; SPORT;HCV.; Hors compte ventilation;720;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;331.0;0112.; JEUNESSE;CLSH-Elementaires.; CLSH Elementaires ;11886,7;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;331.0;0112.; JEUNESSE;CLSH-maternelle.; CLSH maternelle;4936,2;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;331.0;0112.; JEUNESSE;JPINS.; Centre Jeunes Pins;2324,8;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;331.0;0112.; JEUNESSE;PACIFIC.; PACIFIC;-114;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;331.0;0112.; JEUNESSE;PERMIS.; Permis de conduire;1000;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;338.0;0112.; JEUNESSE;ACM.; Accueil Collectif de Mineur ;-870;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;338.0;0112.; JEUNESSE;CLAS.; Contrat Local Aménagement Scolaires;8645;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;338.0;0112.; JEUNESSE;PERMIS.; Permis de conduire;6000;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;338.0;0112.; JEUNESSE;PROJET.; JEUNESSE Projet jeunesse;9546;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;338.0;0112.; JEUNESSE;QUART.ETE.; Quartiers d'été ;-4920;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;4214.0;0112.; JEUNESSE;ACM.; Accueil Collectif de Mineur ;126,9;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;4214.0;0112.; JEUNESSE;PACIFIC.; PACIFIC;9089,8;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;4221.0;0112.; JEUNESSE;ACM.; Accueil Collectif de Mineur ;87,5;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;4221.0;0112.; JEUNESSE;HCV.; Hors compte ventilation;457,5;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;510.0;0106.; CTM;HCV.; Hors compte ventilation;-33,12;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;20.0;0102.; EDUCATION;HCV.; Hors compte ventilation;397,35;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;20.0;0103.; BATIMENTS COMMUNAUX;BUREAUX.; PORT Bureaux sur le port;138,58;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;20.0;0103.; BATIMENTS COMMUNAUX;CLOS.; Clos Saint Victor;364,06;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOC.; BD IMP Local Boulevard Impératrice;114,56;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOC.; ESP NAT Local Maison Gardien Espace Naturel;1620,12;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOC.; J FERRY Local Jules Ferry;1855,94;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOC.; RES BRETAGNE Local résidence Bretagne ;302,02;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOC.; RES NICOLE Local bureaux résidence Nicole ;192,05;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOC.; SYNDICAT Local syndicat;61,24;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOC.; TRAV Local Ave travailleurs de la mer ;336,44;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOCAL.; SNCF Local SNCF;94,04;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;20.0;0103.; BATIMENTS COMMUNAUX;MAIRIE.; Mairie;7615,56;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;20.0;0103.; BATIMENTS COMMUNAUX;MAIRIE.; ANN Mairie Annexe;159,01;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;20.0;0103.; BATIMENTS COMMUNAUX;MBC.; Maison de baie de canche ;823,87;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;20.0;0103.; BATIMENTS COMMUNAUX;PINEDE.; Salle de la pinède;62,63;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;20.0;0103.; BATIMENTS COMMUNAUX;PYRAMIDE.; Maison quartier la Pyramide ;144,63;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;20.0;0103.; BATIMENTS COMMUNAUX;SALLE.; CAR Salle des carrières ;264,85;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;20.0;0106.; CTM;HCV.; Hors compte ventilation;448,4;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;24.0;0103.; BATIMENTS COMMUNAUX;ASS.; AGIR Association  AGIR;148,67;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;24.0;0103.; BATIMENTS COMMUNAUX;ASS.; COLOMB Association  Colombophilie;85,75;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;24.0;0103.; BATIMENTS COMMUNAUX;ASS.; MODELISME Association Club de Modélisme ;94,04;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;24.0;0103.; BATIMENTS COMMUNAUX;ASS.; RENOUVEAU Association Renouveau pour tous ;127,23;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;24.0;0103.; BATIMENTS COMMUNAUX;ASS.; RESTO Association Resto du Coeur;605;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;24.0;0103.; BATIMENTS COMMUNAUX;LOGT.; CHASSEURS Logt Maison des chasseurs ;100,98;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;24.0;0103.; BATIMENTS COMMUNAUX;SALLE.; MUSCULATION Salle musculation ancien ACM;382,2;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;25.0;0101.; ADMINISTRATION GENERALE ET JURIDIQUE;CIMETIERE.; Cimetière;766,78;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;211.0;0102.; EDUCATION;MT.; MOUET Maternelle les mouettes;1126,35;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;212.0;0102.; EDUCATION;PRMACE.; Primaire Jean Macé;530,9;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;212.0;0102.; EDUCATION;PRMOUL.; Primaire Jean Moulin;2362,35;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;212.0;0102.; EDUCATION;PRROMBLY.; Primaire Rombly;3041,63;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;283.0;0102.; EDUCATION;HCV.; Hors compte ventilation;88,83;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;283.0;0103.; BATIMENTS COMMUNAUX;HCV.; Hors compte ventilation;77,44;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;284.0;0103.; BATIMENTS COMMUNAUX;SIMP.; NEANT SIMP;913,93;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;313.0;0104.; MEDIATHEQUE;HCV.; Hors compte ventilation;184,96;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;314.0;0113.; MUSEE DE LA MARINE;HCV.; Hors compte ventilation;432,57;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;314.0;0114.; MUSEE QUENTOVIC;HCV.; Hors compte ventilation;333,35;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;321.0;0116.; SPORT;SALLE.; FLESSEL Salle Laura FLESSEL;495,41;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;321.0;0116.; SPORT;SALLE.; OYATS Salle des Oyats;1200,08;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;321.0;0116.; SPORT;SALLE.; TENNIS Salle de tennis ;347,24;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;321.0;0116.; SPORT;ST.; BERGERIES Terrain les Bergeries ;2786,95;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;321.0;0116.; SPORT;VEST.; GUILLY  Vestiaires Stade François Guilluy;45,31;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;321.0;0116.; SPORT;HCV.; Hors compte ventilation;836,31;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;322.0;0116.; SPORT;ST.; BERGERIES Terrain les Bergeries ;706,39;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;322.0;0116.; SPORT;ST.; GUILLY Stade François GUILLUY;1845,88;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;322.0;0116.; SPORT;TER.; ASSOCIAT Terrains des associations (Bergeries);515,11;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;322.0;0116.; SPORT;TER.; SYNT Terrain synthétique M.Guervile ;159,38;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;325.0;0103.; BATIMENTS COMMUNAUX;CORDERIE.; La Corderie ;1702,61;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;325.0;0112.; JEUNESSE;JPINS.; Centre Jeunes Pins;49,27;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;325.0;0116.; SPORT;BOULODROME.; Boulodrome pétanque;239,09;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;325.0;01161.; CNC;HCV.; Hors compte ventilation;1598,54;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;331.0;0112.; JEUNESSE;JPINS.; Centre Jeunes Pins;98,6;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;338.0;0112.; JEUNESSE;HCV.; Hors compte ventilation;112,07;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;4214.0;0112.; JEUNESSE;PACIFIC.; PACIFIC;713,69;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;511.0;0106.; CTM;HCV.; Hors compte ventilation;137,27;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;511.0;01061.; POLE CADRE DE VIE ;HCV.; Hors compte ventilation;207,48;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;6312.0;ETALS.; Etals sur le Port Plaisance ;HCV.; Hors compte ventilation;3339,6;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;6312.0;0124.; URBANISME;FOIRES.; Foires ;461,55;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;66.0;0106.; CTM;HCV.; Hors compte ventilation;1735,26;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;845.0;0106.; CTM;HCV.; Hors compte ventilation;1567,17;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60611.;;;847.0;01061.; POLE CADRE DE VIE ;HCV.; Hors compte ventilation;329,69;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0102.; EDUCATION;HCV.; Hors compte ventilation;5227,58;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;AIRE.; C Aire de carénage;2104,25;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;AIRES.; DE JEUX Aires de jeux;631,32;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;ARCHIVES.; EGLISE Archives sous sol Eglise;14145,92;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;CHASSEURS.; Maison des chasseurs ;2620;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;CLOS.; Clos Saint Victor;2207,91;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;CPTCA.; Centre de soins, daccompagnement et de prévention en addictologie ;2442,76;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;DEPOT.; VOIRIE Dépot voirie avenue du vieux Moulin;1965,66;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;GUINGUETTE.; NEANT Bat LA GUINGUETTE;294,59;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOC.; BD BIG Local Boulevard Bigot Descelers;3604,3;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOC.; BD IMP Local Boulevard Impératrice;2858,11;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOC.; J FERRY Local Jules Ferry;7709,45;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOC.; PERMANENCE Local permanence 13 rue P.Trouée;1263,51;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOC.; RES BRETAGNE Local résidence Bretagne ;1649,89;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOC.; RES CHARENTE Local résidence Charente ;263,64;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOC.; RES LUCILE Local résidence Lucile;938,96;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOC.; RES YVELINES  LOC résidence Yvelines  rue P.Trouée;957,92;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOC.; SAP POMPIERS Batiment sapeurs pompiers ;12044,63;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOC.; SYNDICAT Local syndicat;1826,34;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOC.; ZAC Local ZAC  - 59 allée Appolinaire ;2592,04;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOCAL.; SNCF Local SNCF;703,09;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOGT.; CIMETIERE Logt cimetière;247,78;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;MAIRIE.; Mairie;24979,38;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;MAIRIE.; ANN Mairie Annexe;794,41;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;PINEDE.; Salle de la pinède;912,9;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;PYRAMIDE.; Maison quartier la Pyramide ;3073,95;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0103.; BATIMENTS COMMUNAUX;SIRENE.; GL Sirène Grand Large ;278,14;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0106.; CTM;HCV.; Hors compte ventilation;17734,68;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;20.0;0112.; JEUNESSE;HCV.; Hors compte ventilation;1285,39;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;24.0;0103.; BATIMENTS COMMUNAUX;ASS.; MODELISME Association Club de Modélisme ;1119,82;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;24.0;0103.; BATIMENTS COMMUNAUX;ASS.; RESTO Association Resto du Coeur;2454,03;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;24.0;0103.; BATIMENTS COMMUNAUX;SALLE.; MUSCULATION Salle musculation ancien ACM;1065,72;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;24.0;0103.; BATIMENTS COMMUNAUX;TER.; CANIN Terrain canin;1308,27;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;25.0;0101.; ADMINISTRATION GENERALE ET JURIDIQUE;HCV.; Hors compte ventilation;2304,26;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;211.0;0102.; EDUCATION;MT.; MOUET Maternelle les mouettes;1707,3;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;212.0;0102.; EDUCATION;PRMACE.; Primaire Jean Macé;5567,14;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;212.0;0102.; EDUCATION;PRMOUL.; Primaire Jean Moulin;3346,71;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;212.0;0102.; EDUCATION;PRROMBLY.; Primaire Rombly;4669,16;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;281.0;0102.; EDUCATION;HCV.; Hors compte ventilation;2400,8;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;281.0;0112.; JEUNESSE;HCV.; Hors compte ventilation;791,73;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;283.0;0103.; BATIMENTS COMMUNAUX;HCV.; Hors compte ventilation;692,97;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;313.0;0104.; MEDIATHEQUE;HCV.; Hors compte ventilation;6583,65;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;314.0;0113.; MUSEE DE LA MARINE;HCV.; Hors compte ventilation;3249,69;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;314.0;0114.; MUSEE QUENTOVIC;HCV.; Hors compte ventilation;2330,85;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;321.0;0116.; SPORT;SALLE.; CAR Salle des carrières ;7197,24;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;321.0;0116.; SPORT;SALLE.; FLESSEL Salle Laura FLESSEL;3006,84;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;321.0;0116.; SPORT;SALLE.; OYATS Salle des Oyats;12033,43;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60612.;;;321.0;0116.; SPORT;SALLE.; PING PONG Salle de Ping Pong;1482,71;Dépense;Fonctionnement;2022.0
